feature_index,importance,model_name,config_name,stage,fold,pixel_row,pixel_col
4603,0.0005162429877897086,XGBoost,paper_params,search,10,66,49
1784,0.0005158396669073581,XGBoost,paper_params,search,10,25,59
3901,0.000515523191855065,XGBoost,paper_params,search,10,56,37
2813,0.0005146891342820818,XGBoost,paper_params,search,10,40,53
1086,0.0005144082241105962,XGBoost,paper_params,search,10,15,51
1448,0.0005129839990637855,XGBoost,paper_params,search,10,20,68
2752,0.0005129319032072834,XGBoost,paper_params,search,10,39,61
2318,0.0005123917361141657,XGBoost,paper_params,search,10,33,41
2953,0.0005115443489868373,XGBoost,paper_params,search,10,42,55
1626,0.0005111673961748729,XGBoost,paper_params,search,10,23,39
2876,0.0005109802003374304,XGBoost,paper_params,search,10,41,47
2946,0.0005107299073955763,XGBoost,paper_params,search,10,42,48
3037,0.0005104821755908016,XGBoost,paper_params,search,10,44,1
1842,0.0005101514396615888,XGBoost,paper_params,search,10,26,48
3432,0.0005098254767605696,XGBoost,paper_params,search,10,49,51
2967,0.0005090734337817893,XGBoost,paper_params,search,10,43,0
2398,0.0005083514259560316,XGBoost,paper_params,search,10,34,52
749,0.00050772982634532,XGBoost,paper_params,search,10,10,59
3036,0.0005075216175422939,XGBoost,paper_params,search,10,44,0
3362,0.0005074267390550329,XGBoost,paper_params,search,10,48,50
2746,0.0005069245815644806,XGBoost,paper_params,search,10,39,55
607,0.000506695359795871,XGBoost,paper_params,search,10,8,55
1765,0.0005064289433319485,XGBoost,paper_params,search,10,25,40
668,0.0005062138660249367,XGBoost,paper_params,search,10,9,47
1641,0.000506182841341679,XGBoost,paper_params,search,10,23,54
4590,0.00050540035575625,XGBoost,paper_params,search,10,66,36
1663,0.0005053343482687935,XGBoost,paper_params,search,10,24,7
697,0.0005050027974323282,XGBoost,paper_params,search,10,10,7
4047,0.0005046737495252814,XGBoost,paper_params,search,10,58,45
4611,0.0005041342809240946,XGBoost,paper_params,search,10,66,57
3293,0.0005035327629563922,XGBoost,paper_params,search,10,47,50
4147,0.0005034678614144928,XGBoost,paper_params,search,10,60,7
1085,0.0005030625614716719,XGBoost,paper_params,search,10,15,50
746,0.0005030294995202828,XGBoost,paper_params,search,10,10,56
2885,0.0005025235003241112,XGBoost,paper_params,search,10,41,56
194,0.0005018911905037947,XGBoost,paper_params,search,10,2,56
2329,0.0005017407819080386,XGBoost,paper_params,search,10,33,52
840,0.0005014612687204145,XGBoost,paper_params,search,10,12,12
1823,0.0005005742421760158,XGBoost,paper_params,search,10,26,29
4474,0.0005003529366492881,XGBoost,paper_params,search,10,64,58
3049,0.0004999176015534446,XGBoost,paper_params,search,10,44,13
4702,0.0004999102091805108,XGBoost,paper_params,search,10,68,10
1734,0.0004995353518443387,XGBoost,paper_params,search,10,25,9
1553,0.0004993791806901539,XGBoost,paper_params,search,10,22,35
1946,0.0004992312168161555,XGBoost,paper_params,search,10,28,14
3797,0.0004988987928647767,XGBoost,paper_params,search,10,55,2
2694,0.0004984886034784405,XGBoost,paper_params,search,10,39,3
147,0.0004971313172416605,XGBoost,paper_params,search,10,2,9
95,0.0004960443473820829,XGBoost,paper_params,search,10,1,26
3986,0.0004946311817908425,XGBoost,paper_params,search,10,57,53
2403,0.0004945739054525206,XGBoost,paper_params,search,10,34,57
4239,0.0004945534163558851,XGBoost,paper_params,search,10,61,30
661,0.0004945295512149176,XGBoost,paper_params,search,10,9,40
3848,0.0004938118507560662,XGBoost,paper_params,search,10,55,53
1520,0.000492790364514997,XGBoost,paper_params,search,10,22,2
1285,0.0004925399551578211,XGBoost,paper_params,search,10,18,43
1589,0.0004925393148735512,XGBoost,paper_params,search,10,23,2
704,0.0004925053215995877,XGBoost,paper_params,search,10,10,14
3718,0.0004921527577975388,XGBoost,paper_params,search,10,53,61
658,0.0004913354058232331,XGBoost,paper_params,search,10,9,37
1465,0.0004912836592126962,XGBoost,paper_params,search,10,21,16
3729,0.0004911716676731317,XGBoost,paper_params,search,10,54,3
3912,0.0004906039683564101,XGBoost,paper_params,search,10,56,48
17,0.0004904993109821186,XGBoost,paper_params,search,10,0,17
