feature_index,importance,model_name,config_name,stage,fold,pixel_row,pixel_col
1664,0.0018333333333333333,LightGBM,paper_params,search,10,24,8
1661,0.0018333333333333333,LightGBM,paper_params,search,10,24,5
1603,0.0018333333333333333,LightGBM,paper_params,search,10,23,16
694,0.0018333333333333333,LightGBM,paper_params,search,10,10,4
1633,0.0018333333333333333,LightGBM,paper_params,search,10,23,46
978,0.00175,LightGBM,paper_params,search,10,14,12
1640,0.00175,LightGBM,paper_params,search,10,23,53
4268,0.00175,LightGBM,paper_params,search,10,61,59
704,0.00175,LightGBM,paper_params,search,10,10,14
1877,0.00175,LightGBM,paper_params,search,10,27,14
2014,0.00175,LightGBM,paper_params,search,10,29,13
2259,0.00175,LightGBM,paper_params,search,10,32,51
4084,0.00175,LightGBM,paper_params,search,10,59,13
3798,0.00175,LightGBM,paper_params,search,10,55,3
3917,0.00175,LightGBM,paper_params,search,10,56,53
2884,0.00175,LightGBM,paper_params,search,10,41,55
3251,0.00175,LightGBM,paper_params,search,10,47,8
3170,0.00175,LightGBM,paper_params,search,10,45,65
697,0.00175,LightGBM,paper_params,search,10,10,7
674,0.00175,LightGBM,paper_params,search,10,9,53
2413,0.00175,LightGBM,paper_params,search,10,34,67
2556,0.00175,LightGBM,paper_params,search,10,37,3
1234,0.00175,LightGBM,paper_params,search,10,17,61
828,0.0016666666666666668,LightGBM,paper_params,search,10,12,0
4404,0.0016666666666666668,LightGBM,paper_params,search,10,63,57
4050,0.0016666666666666668,LightGBM,paper_params,search,10,58,48
2015,0.0016666666666666668,LightGBM,paper_params,search,10,29,14
2151,0.0016666666666666668,LightGBM,paper_params,search,10,31,12
2067,0.0016666666666666668,LightGBM,paper_params,search,10,29,66
499,0.0016666666666666668,LightGBM,paper_params,search,10,7,16
1047,0.0016666666666666668,LightGBM,paper_params,search,10,15,12
2356,0.0016666666666666668,LightGBM,paper_params,search,10,34,10
4016,0.0016666666666666668,LightGBM,paper_params,search,10,58,14
2738,0.0016666666666666668,LightGBM,paper_params,search,10,39,47
677,0.0016666666666666668,LightGBM,paper_params,search,10,9,56
3460,0.0016666666666666668,LightGBM,paper_params,search,10,50,10
606,0.0016666666666666668,LightGBM,paper_params,search,10,8,54
3432,0.0016666666666666668,LightGBM,paper_params,search,10,49,51
1230,0.0016666666666666668,LightGBM,paper_params,search,10,17,57
2958,0.0016666666666666668,LightGBM,paper_params,search,10,42,60
3250,0.0016666666666666668,LightGBM,paper_params,search,10,47,7
3179,0.0016666666666666668,LightGBM,paper_params,search,10,46,5
1251,0.0016666666666666668,LightGBM,paper_params,search,10,18,9
3233,0.0016666666666666668,LightGBM,paper_params,search,10,46,59
3041,0.0016666666666666668,LightGBM,paper_params,search,10,44,5
4611,0.0016666666666666668,LightGBM,paper_params,search,10,66,57
4701,0.0016666666666666668,LightGBM,paper_params,search,10,68,9
537,0.0015833333333333333,LightGBM,paper_params,search,10,7,54
3049,0.0015833333333333333,LightGBM,paper_params,search,10,44,13
3040,0.0015833333333333333,LightGBM,paper_params,search,10,44,4
1252,0.0015833333333333333,LightGBM,paper_params,search,10,18,10
3181,0.0015833333333333333,LightGBM,paper_params,search,10,46,7
3043,0.0015833333333333333,LightGBM,paper_params,search,10,44,7
1153,0.0015833333333333333,LightGBM,paper_params,search,10,16,49
217,0.0015833333333333333,LightGBM,paper_params,search,10,3,10
3047,0.0015833333333333333,LightGBM,paper_params,search,10,44,11
1710,0.0015833333333333333,LightGBM,paper_params,search,10,24,54
898,0.0015833333333333333,LightGBM,paper_params,search,10,13,1
3529,0.0015833333333333333,LightGBM,paper_params,search,10,51,10
119,0.0015833333333333333,LightGBM,paper_params,search,10,1,50
1533,0.0015833333333333333,LightGBM,paper_params,search,10,22,15
2013,0.0015833333333333333,LightGBM,paper_params,search,10,29,12
4058,0.0015833333333333333,LightGBM,paper_params,search,10,58,56
2150,0.0015833333333333333,LightGBM,paper_params,search,10,31,11
2183,0.0015833333333333333,LightGBM,paper_params,search,10,31,44
1046,0.0015833333333333333,LightGBM,paper_params,search,10,15,11
79,0.0015833333333333333,LightGBM,paper_params,search,10,1,10
1932,0.0015833333333333333,LightGBM,paper_params,search,10,28,0
1945,0.0015833333333333333,LightGBM,paper_params,search,10,28,13
2624,0.0015833333333333333,LightGBM,paper_params,search,10,38,2
2694,0.0015833333333333333,LightGBM,paper_params,search,10,39,3
2693,0.0015833333333333333,LightGBM,paper_params,search,10,39,2
1595,0.0015833333333333333,LightGBM,paper_params,search,10,23,8
4038,0.0015833333333333333,LightGBM,paper_params,search,10,58,36
2486,0.0015,LightGBM,paper_params,search,10,36,2
3292,0.0015,LightGBM,paper_params,search,10,47,49
2981,0.0015,LightGBM,paper_params,search,10,43,14
1382,0.0015,LightGBM,paper_params,search,10,20,2
680,0.0015,LightGBM,paper_params,search,10,9,59
1799,0.0015,LightGBM,paper_params,search,10,26,5
2911,0.0015,LightGBM,paper_params,search,10,42,13
2874,0.0015,LightGBM,paper_params,search,10,41,45
3110,0.0015,LightGBM,paper_params,search,10,45,5
3448,0.0015,LightGBM,paper_params,search,10,49,67
1100,0.0015,LightGBM,paper_params,search,10,15,65
3293,0.0015,LightGBM,paper_params,search,10,47,50
538,0.0015,LightGBM,paper_params,search,10,7,55
4632,0.0015,LightGBM,paper_params,search,10,67,9
773,0.0015,LightGBM,paper_params,search,10,11,14
3248,0.0015,LightGBM,paper_params,search,10,47,5
4391,0.0015,LightGBM,paper_params,search,10,63,44
2744,0.0015,LightGBM,paper_params,search,10,39,53
3848,0.0015,LightGBM,paper_params,search,10,55,53
1389,0.0015,LightGBM,paper_params,search,10,20,9
1780,0.0015,LightGBM,paper_params,search,10,25,55
4131,0.0015,LightGBM,paper_params,search,10,59,60
2487,0.0015,LightGBM,paper_params,search,10,36,3
2483,0.0015,LightGBM,paper_params,search,10,35,68
4055,0.0015,LightGBM,paper_params,search,10,58,53
121,0.0015,LightGBM,paper_params,search,10,1,52
1946,0.0014166666666666668,LightGBM,paper_params,search,10,28,14
2397,0.0014166666666666668,LightGBM,paper_params,search,10,34,51
2551,0.0014166666666666668,LightGBM,paper_params,search,10,36,67
1842,0.0014166666666666668,LightGBM,paper_params,search,10,26,48
1167,0.0014166666666666668,LightGBM,paper_params,search,10,16,63
3988,0.0014166666666666668,LightGBM,paper_params,search,10,57,55
1627,0.0014166666666666668,LightGBM,paper_params,search,10,23,40
3986,0.0014166666666666668,LightGBM,paper_params,search,10,57,53
498,0.0014166666666666668,LightGBM,paper_params,search,10,7,15
1390,0.0014166666666666668,LightGBM,paper_params,search,10,20,10
2403,0.0014166666666666668,LightGBM,paper_params,search,10,34,57
2424,0.0014166666666666668,LightGBM,paper_params,search,10,35,9
977,0.0014166666666666668,LightGBM,paper_params,search,10,14,11
2329,0.0014166666666666668,LightGBM,paper_params,search,10,33,52
1778,0.0014166666666666668,LightGBM,paper_params,search,10,25,53
4337,0.0014166666666666668,LightGBM,paper_params,search,10,62,59
1534,0.0014166666666666668,LightGBM,paper_params,search,10,22,16
4147,0.0014166666666666668,LightGBM,paper_params,search,10,60,7
78,0.0014166666666666668,LightGBM,paper_params,search,10,1,9
1591,0.0014166666666666668,LightGBM,paper_params,search,10,23,4
1715,0.0014166666666666668,LightGBM,paper_params,search,10,24,59
1224,0.0014166666666666668,LightGBM,paper_params,search,10,17,51
1225,0.0014166666666666668,LightGBM,paper_params,search,10,17,52
2968,0.0014166666666666668,LightGBM,paper_params,search,10,43,1
3182,0.0014166666666666668,LightGBM,paper_params,search,10,46,8
3113,0.0014166666666666668,LightGBM,paper_params,search,10,45,8
3185,0.0014166666666666668,LightGBM,paper_params,search,10,46,11
4358,0.0014166666666666668,LightGBM,paper_params,search,10,63,11
1294,0.0014166666666666668,LightGBM,paper_params,search,10,18,52
629,0.0014166666666666668,LightGBM,paper_params,search,10,9,8
3493,0.0014166666666666668,LightGBM,paper_params,search,10,50,43
3660,0.0014166666666666668,LightGBM,paper_params,search,10,53,3
3507,0.0014166666666666668,LightGBM,paper_params,search,10,50,57
3433,0.0013333333333333333,LightGBM,paper_params,search,10,49,52
3118,0.0013333333333333333,LightGBM,paper_params,search,10,45,13
4605,0.0013333333333333333,LightGBM,paper_params,search,10,66,51
1660,0.0013333333333333333,LightGBM,paper_params,search,10,24,4
3112,0.0013333333333333333,LightGBM,paper_params,search,10,45,7
3528,0.0013333333333333333,LightGBM,paper_params,search,10,51,9
49,0.0013333333333333333,LightGBM,paper_params,search,10,0,49
3294,0.0013333333333333333,LightGBM,paper_params,search,10,47,51
4563,0.0013333333333333333,LightGBM,paper_params,search,10,66,9
3502,0.0013333333333333333,LightGBM,paper_params,search,10,50,52
216,0.0013333333333333333,LightGBM,paper_params,search,10,3,9
